"Address","Name","Fields","Bitmask"
0x07,StatusRegAux,
,,oneAxisDataAvailable,0
,,twoAxisDataAvailable,1
,,threeAxisDataAvailable,2
,,dataAvailable,3
,,oneAxisDataOverrun,4
,,twoAxisDataOverrun,5
,,dataOverrun,6
0x08,OutAdc1,
,,value,6
0x0A,OutAdc2,
,,value,6
0x0C,OutAdc3,
,,value,6
0x0f,WhoAmI,
,,value,0
0x1E,Ctrl0,
,,sdoPuDisc,0
0x1F,TempCfgReg,
,,adcEn,7
,,tempEn,6
0x21,Ctrl2,
,,highPassAoiInt1Enable,0
,,highPassAoiInt2Enable,1
,,highPassClickEnable,2
,,filterDataPassThru,3
,,highPassFilterCutoffFrequency,4
,,highPassFilterModeSelection,6
0x22,Ctrl3,
,,overrun,1
,,fifoWatermark,2
,,da321,3
,,zyxda,4
,,ia2,5
,,ia1,6
,,click,7
0x23,Ctrl4,
,,spiInterfaceMode,0
,,selfTestEnable,1
,,highResolutionOutput,3
,,fullScaleSelection,4
,,bigEndian,6
,,blockDataUpdate,7
0x24,Ctrl5,
,,enable4DInt2,0
,,latchInt2,1
,,enable4DInt1,2
,,latchInt1,3
,,fifoEnable,4
,,rebootMemoryContent,5
0x25,Ctrl6,
,,intPolarity,1
,,act,3
,,boot,4
,,ia2,5
,,ia1,6
,,click,7
0x26,Reference,
,,value,0
0x27,Status,
,,xda,0
,,yda,1
,,zda,2
,,zyxda,3
,,x_or,4
,,y_or,5
,,z_or,6
,,zyx_or,7
0x2E,FifoCtrl,
,,fifoThreshold,0
,,triggerSelection,5
,,fifoMode,6
0x2F,FifoSrc,
,,fss,0
,,emtpy,5
,,overrunFifo,6
,,watermark,7
0x30,Int1Cfg,
,,enableXLowEvent,0
,,enableXHighEvent,1
,,enableYLowEvent,2
,,enableYHighEvent,3
,,enableZLowEvent,4
,,enableZHighEvent,5
,,enable6D,6
,,andOrInterruptEvents,7
0x31,Int1Src,
,,xLow,0
,,xHigh,1
,,yLow,2
,,yHigh,3
,,zLow,4
,,zHigh,5
,,interruptActive,6
0x32,Int1Threshold,
,,value,0
0x33,Int1Duration,
,,value,0
0x34,Int2Cfg,
,,enableXLowEvent,0
,,enableXHighEvent,1
,,enableYLowEvent,2
,,enableYHighEvent,3
,,enableZLowEvent,4
,,enableZHighEvent,5
,,enable6D,6
,,andOrInterruptEvents,7
0x35,Int2Src,
,,xLow,0
,,xHigh,1
,,yLow,2
,,yHigh,3
,,zLow,4
,,zHigh,5
,,interruptActive,6
0x36,Int2Threshold,
,,value,0
0x37,Int2Duration,
,,value,0
0x39,ClickSource,
,,x,0
,,y,1
,,z,2
,,sign,3
,,singleClickEnable,4
,,doubleClickEnable,5
,,interruptActive,6
0x3A,ClickThreshold,
,,threshold,0
,,lirClick,7
0x3B,TimeLimit,
,,value,0
0x3C,TimeLatency,
,,value,0
0x3D,TimeWindow,
,,value,0
0x3E,ActivationThreshold,
,,value,0
0x3F,ActivationDuration,
,,value,0
0xA0,Ctrl1,
,,xAxisEnable,0
,,yAxisEnable,1
,,zAxisEnable,2
,,lowPowerEnable,3
,,outputDataRate,4
0xA8,OutX,
,,value,6
0xAA,OutY,
,,value,6
0xAC,OutZ,
,,value,6
