"Address","Name","Fields","Bitmask"
0x0c,OutT,
,,value,0
0x0d,Info1,
,,value,0
0x0e,Info2,
,,value,0
0x0f,WhoAmI,
,,value,0
0x10,OffX,
,,value,0
0x11,OffY,
,,value,0
0x12,OffZ,
,,value,0
0x13,CsX,
,,value,0
0x14,CsY,
,,value,0
0x15,CsZ,
,,value,0
0x16,Lc,
,,value,0
0x18,Stat,
,,drdy,0
,,dor,1
,,intSm2,2
,,intSm1,3
,,sync2,4
,,sync1,5
,,syncw,6
,,longInterrupt,7
0x19,Peak1,
,,value,0
0x1A,Peak2,
,,value,0
0x1b,Vfc1,
,,value,0
0x1c,Vfc2,
,,value,0
0x1d,Vfc3,
,,value,0
0x1e,Vfc4,
,,value,0
0x1f,Thrs3,
,,value,0
0x20,CtrlReg4,
,,xen,0
,,yen,1
,,zen,2
,,bdu,3
,,outputDataRate,4
0x21,CtrlReg1,
,,sm1En,0
,,sm1Pin,3
,,Hyst1,5
0x22,CtrlReg2,
,,sm2En,0
,,sm2Pin,3
,,Hyst2,5
0x23,CtrlReg3,
,,strt,0
,,vfilt,2
,,int1En,3
,,int2En,4
,,iel,5
,,iea,6
,,drEn,7
0x24,CtrlReg5,
,,sim,0
,,st1,1
,,st2,2
,,fscale,3
,,bandwidth,6
0x25,CtrlReg6,
,,p2boot,0
,,p1overrun,1
,,p1wtm,2
,,p1empty,3
,,addInc,4
,,wtmEn,5
,,fifoEn,6
,,boot,7
0x27,Status,
,,xda,0
,,yda,1
,,zda,2
,,zyxda,3
,,xor,4
,,yor,5
,,zor,6
,,zyxor,7
0x28,OutX,
,,value,0
0x2a,OutY,
,,value,0
0x2c,OutZ,
,,value,0
0x2e,FifoCtrl,
,,wtmp,0
,,fifoMode,5
0x2f,FifoSrc,
,,fss,0
,,empty,5
,,ovrnFifo,6
,,wtm,7
