"Address","Name","Fields","Bitmask"
0x05,TempOut,
,,value,0
0x07,Status,
,,xDataAvailable,0
,,yDataAvailable,1
,,zDataAvailable,2
,,zyxDataAvailable,3
,,xDataOverrun,4
,,yDataOverrun,5
,,zDataOverrun,6
,,zyxDataOverrun,7
0x08,OutX,
,,value,0
0x0A,OutY,
,,value,0
0x0C,OutZ,
,,value,0
0x0f,WhoAmI,
,,value,0
0x12,IntCtrl,
,,magInterruptEnable,0
,,enable4D,1
,,latchInterruptRequest,2
,,interruptPolarity,3
,,interruptPinPushPull,4
,,zInterruptEnable,5
,,yInterruptEnable,6
,,xInterruptEnable,7
0x13,IntSource,
,,mint,0
,,measurementRangeOverflow,1
,,negativeThresholdZ,2
,,negativeThresholdY,3
,,negativeThresholdX,4
,,positiveThresholdZ,5
,,positiveThresholdY,6
,,positiveThresholdX,7
0x14,IntThreshold,
,,value,0
0x16,OffsetX,
,,value,0
0x18,OffsetY,
,,value,0
0x1A,OffsetZ,
,,value,0
0x1c,ReferenceX,
,,value,0
0x1d,ReferenceY,
,,value,0
0x1E,ReferenceZ,
,,value,0
0x1f,Ctrl0,
,,hpis2,0
,,hpis1,1
,,hpClick,2
,,fifoThresholdEnable,5
,,fifoEnable,6
,,boot,7
0x20,Ctrl1,
,,xEnable,0
,,yEnable,1
,,zEnable,2
,,blockDataUpdate,3
,,outputDataRate,4
0x21,Ctrl2,
,,spiModeSelection,0
,,accelerationSelfTest,1
,,fullScaleSelection,3
,,antiAliasFilterBandwidth,6
0x22,Ctrl3,
,,fifoEmptyOnInt1,0
,,magReadyOnInt1,1
,,accelReadyOnInt1,2
,,magGenOnInt1,3
,,inertialGen2OnInt1,4
,,inertialGen1OnInt1,5
,,clickGenOnInt1,6
,,bootOnInt1,7
0x23,Ctrl4,
,,fifoThresholdOnInt2,0
,,fifoOverrunOnInt2,1
,,magDataReadyOnInt2,2
,,accelDataReadyOnInt2,3
,,magIntOnInt2,4
,,inertialGen2OnInt2,5
,,inertialGen1OnInt2,6
,,clickGenOnInt2,7
0x24,Ctrl5,
,,latchIntOnInt1,0
,,latchIntOnInt2,1
,,magDataRate,2
,,magResolution,5
,,tempEnable,7
0x25,Ctrl6,
,,magFullScaleSelection,5
0x26,Ctrl7,
,,magSensorMode,0
,,magLowPowerMode,2
,,tempOnly,4
,,filteredAccelData,5
,,accelhighPassMode,6
0x27,StatusA,
,,accelXAvailable,0
,,accelYAvailable,1
,,accelZAvailable,2
,,accelXYZAvailable,3
,,accelXOverrun,4
,,accelYOverrun,5
,,accelZOverrun,6
,,accelXYZOverrun,7
0x28,OutAccelX,
,,value,0
0x2A,OutAccelY,
,,value,0
0x2C,OutAccelZ,
,,value,0
0x2E,FifoControl,
,,fifoThreshold,0
,,fifoMode,5
0x2f,FifoSource,
,,fifoStoredLevel,0
,,empty,5
,,overrun,6
,,fifoThreshold,7
0x30,InertialIntGen1Config,
,,xLowInterruptEnable,0
,,xHighInterruptEnable,1
,,yLowInterruptEnable,2
,,yHighInterruptEnable,3
,,zLowInterruptEvent,4
,,zHighInterruptEnable,5
,,detect6D,6
,,andOrInterruptEvents,7
0x31,InertialIntGen1Status,
,,xLow,0
,,xHigh,1
,,yLow,2
,,yHigh,3
,,zLow,4
,,zHigh,5
,,intStatus,6
0x32,InertialIntGen1Threshold,
,,value,0
0x33,InertialIntGen1Duration,
,,value,0
0x34,InertialIntGen2Config,
,,xLowInterruptEnable,0
,,xHighInterruptEnable,1
,,yLowInterruptEnable,2
,,yHighInterruptEnable,3
,,zLowInterruptEvent,4
,,zHighInterruptEnable,5
,,detect6D,6
,,andOrInterruptEvents,7
0x35,InertialIntGen2Status,
,,xLow,0
,,xHigh,1
,,yLow,2
,,yHigh,3
,,zLow,4
,,zHigh,5
,,intStatus,6
0x36,InertialIntGen2Threshold,
,,value,0
0x37,InertialIntGen2Duration,
,,value,0
0x38,ClickConfig,
,,xSingleClick,0
,,xDoubleClick,1
,,ySingleClick,2
,,yDoubleClick,3
,,zSingleClick,4
,,zDoubleClick,5
0x39,ClickSource,
,,x,0
,,y,1
,,z,2
,,sign,3
,,singleClickEn,4
,,doubleClickEn,5
,,interruptActive,6
0x3A,ClickThreshold,
,,value,0
0x3b,TimeLimit,
,,value,0
0x3c,TimeLatency,
,,value,0
0x3d,TimeWindow,
,,value,0
0x3e,ActivationThreshold,
,,value,0
0x3f,ActivationDuration,
,,value,0
