"Address","Name","Fields","Bitmask"
0x20,Ctrl1,
,,xEnable,0
,,yEnable,1
,,zEnable,2
,,lowPowerEnable,3
,,outputDataRate,4
0x21,Ctrl2,
,,hpis,0
,,hpClick,2
,,filterDataSelection,3
,,hpcf,4
,,accelhighPassMode,6
0x22,Ctrl3,
,,fifoOverrunOnInt1,1
,,fifoWatermarkOnInt1,2
,,drdy2OnInt1,3
,,drdy1OnInt1,4
,,aoi2OnInt1,5
,,aoi1OnInt1,6
,,clickOnInt2,7
0x23,Ctrl4,
,,spiModeSelection,0
,,highResolution,3
,,fullScaleSelection,3
,,ble,6
,,bdu,7
0x24,Ctrl5,
,,d4dInt2,0
,,lirInt2,1
,,d4dInt1,2
,,lirInt1,3
,,fifoEnable,6
,,boot,7
0x25,Ctrl6,
,,interruptActiveHigh,1
,,p2Act,3
,,bootI1,4
,,i2Int2,5
,,i2Int1,6
,,i2ClickEnable,7
0x26,Reference,
,,value,0
0x27,Status,
,,xDataAvailable,0
,,yDataAvailable,1
,,zDataAvailable,2
,,zyxDataAvailable,3
,,xDataOverrun,4
,,yDataOverrun,5
,,zDataOverrun,6
,,zyxDataOverrun,7
0x2E,FifoControl,
,,fifoThreshold,0
,,fifoMode,5
0x2f,FifoSource,
,,fifoStoredLevel,0
,,empty,5
,,overrun,6
,,fifoThreshold,7
0x30,InertialIntGen1Config,
,,xLowInterruptEnable,0
,,xHighInterruptEnable,1
,,yLowInterruptEnable,2
,,yHighInterruptEnable,3
,,zLowInterruptEvent,4
,,zHighInterruptEnable,5
,,detect6D,6
,,andOrInterruptEvents,7
0x31,InertialIntGen1Status,
,,xLow,0
,,xHigh,1
,,yLow,2
,,yHigh,3
,,zLow,4
,,zHigh,5
,,intStatus,6
0x32,InertialIntGen1Threshold,
,,value,0
0x33,InertialIntGen1Duration,
,,value,0
0x34,InertialIntGen2Config,
,,xLowInterruptEnable,0
,,xHighInterruptEnable,1
,,yLowInterruptEnable,2
,,yHighInterruptEnable,3
,,zLowInterruptEvent,4
,,zHighInterruptEnable,5
,,detect6D,6
,,andOrInterruptEvents,7
0x35,InertialIntGen2Status,
,,xLow,0
,,xHigh,1
,,yLow,2
,,yHigh,3
,,zLow,4
,,zHigh,5
,,intStatus,6
0x36,InertialIntGen2Threshold,
,,value,0
0x37,InertialIntGen2Duration,
,,value,0
0x38,ClickConfig,
,,xSingleClick,0
,,xDoubleClick,1
,,ySingleClick,2
,,yDoubleClick,3
,,zSingleClick,4
,,zDoubleClick,5
0x39,ClickSource,
,,x,0
,,y,1
,,z,2
,,sign,3
,,singleClickEn,4
,,doubleClickEn,5
,,interruptActive,6
0x3A,ClickThreshold,
,,value,0
0x3b,TimeLimit,
,,value,0
0x3c,TimeLatency,
,,value,0
0x3d,TimeWindow,
,,value,0
0xa8,OutAccelX,
,,value,0
0xaA,OutAccelY,
,,value,0
0xaC,OutAccelZ,
,,value,0
