"Address","Name","Fields","Bitmask"
0x00,Self_test_x_gyro,
,,value,0
0x01,Self_test_y_gyro,
,,value,0
0x02,Self_test_z_gyro,
,,value,0
0x0d,Self_test_x_accel,
,,value,0
0x0e,Self_test_y_accel,
,,value,0
0x0f,Self_test_z_accel,
,,value,0
0x13,XGyroOffsUsr,
,,value,0
0x15,YGyroOffsUsr,
,,value,0
0x17,ZGyroOffsUsr,
,,value,0
0x19,SampleRateDivider,
,,value,0
0x1a,Configuration,
,,dlpf,0
,,extSyncSet,3
,,fifoMode,6
0x1b,GyroConfig,
,,fChoiceBypass,0
,,gyroScale,3
,,zGyroCten,5
,,yGyroCten,6
0x1c,AccelConfig,
,,accelScale,3
,,accelZselfTest,5
,,accelYselfTest,6
,,accelXselfTest,7
0x1d,AccelConfig2,
,,dlpfCfg,0
,,accelFchoice,3
0x1e,LowPowerAccelerometerOdrControl,
,,value,0
0x1f,WomThreshold,
,,value,0
0x23,FifoEnable,
,,slv0,0
,,slv1,1
,,slv2,2
,,accel,3
,,gyroZout,4
,,gyroYout,5
,,gyroXout,6
,,tempOut,7
0x24,I2cMasterControl,
,,i2cMasterClock,0
,,i2cMstPnsr,4
,,slv3FifoEn,5
,,waitForEs,6
,,multMstEn,7
0x25,I2cSlv0Addr,
,,id,0
,,rnw,7
0x26,I2cSlv0Reg,
,,value,0
0x27,I2cSlv0Ctrl,
,,value,0
0x28,I2cSlv1Addr,
,,id,0
,,rnw,7
0x29,I2cSlv1Reg,
,,value,0
0x2a,I2cSlv1Ctrl,
,,value,0
0x2b,I2cSlv2Addr,
,,id,0
,,rnw,7
0x2c,I2cSlv2Reg,
,,value,0
0x2d,I2cSlv2Ctrl,
,,value,0
0x2e,I2cSlv3Addr,
,,id,0
,,rnw,7
0x2f,I2cSlv3Reg,
,,value,0
0x30,I2cSlv3Ctrl,
,,value,0
0x31,I2cSlv4Addr,
,,id,0
,,rnw,7
0x32,I2cSlv4Reg,
,,value,0
0x33,I2cSlv4Do,
,,value,0
0x34,I2cSlv4Ctrl,
,,value,0
0x35,I2cSlv4Di,
,,value,0
0x36,I2cMstStatus,
,,slv0Nack,0
,,slv1Nack,1
,,slv2Nack,2
,,slv3Nack,3
,,slv4Nack,4
,,lostArb,5
,,slv4Done,6
,,passThrough,7
0x37,IntPinCfg,
,,bypassEn,1
,,fsyncIntModeEnable,2
,,actlFsync,3
,,intAnyRd2Clear,4
,,latchIntEn,5
,,open,6
,,actl,7
0x38,IntEnable,
,,RawReadyEnable,0
,,fsyncIntEnable,2
,,fifoIntEnable,3
,,fifoOverflowEnable,4
,,womEnable,1
0x3a,IntStatus,
,,rawDataReadyInt,0
,,fsyncInt,2
,,fifoOverflowInt,3
,,womInt,1
0x3b,Accel_x,
,,value,0
0x3d,Accel_y,
,,value,0
0x3f,Accel_z,
,,value,0
0x41,Temp,
,,value,0
0x43,Gyro_x,
,,value,0
0x45,Gyro_y,
,,value,0
0x47,Gyro_z,
,,value,0
0x49,ExtSensData,
,,value,0
0x63,I2cSlv0do,
,,value,0
0x64,I2cSlv1do,
,,value,0
0x65,I2cSlv2do,
,,value,0
0x66,I2cSlv3do,
,,value,0
0x67,I2cMstDelayCtrl,
,,slv0DelayEn,0
,,slv1DelayEn,1
,,slv2DelayEn,2
,,slv3DelayEn,3
,,slv4DelayEn,4
,,delayEsShadow,2
0x68,SignalPathReset,
,,tempReset,0
,,accelReset,1
,,gyroReset,2
0x69,AccelIntCtrl,
,,accelIntelMode,6
,,accelIntelEnable,7
0x6a,UserCtrl,
,,sigConditionReset,0
,,i2cMasterReset,1
,,fifoReset,2
,,i2cIfDisable,1
,,i2cMasterEnable,2
,,fifoEnable,3
0x6b,PowerMgmt1,
,,clockSel,0
,,powerDownPtat,3
,,gyroStandby,4
,,cycle,5
,,sleep,6
,,reset,7
0x6c,PowerMgmt2,
,,disableZG,0
,,disableYG,1
,,disableXG,2
,,disableZA,3
,,disableYA,4
,,disableXA,5
0x72,FifoCount,
,,value,0
0x74,FifoRW,
,,value,0
0x75,WhoAmI,
,,value,0
0x77,XAccelOffset,
,,value,1
0x7a,YAccelOffset,
,,value,1
0x7d,ZAccelOffset,
,,value,1
