"Address","Name","Fields","Bitmask"
0x00,PuCtrl,
,,registerReset,0
,,powerUpDigital,1
,,powerUpAnalog,2
,,powerUpReady,3
,,cycleStart,4
,,cycleReady,5
,,useExternalCrystal,6
,,useInternalLdo,7
0x01,Ctrl1,
,,gain,0
,,vldo,3
,,drdySelect,6
,,conversionReadyPinPolarity,7
0x02,Ctrl2,
,,calMod,0
,,calStart,2
,,calError,3
,,conversionRate,4
,,channelSelect,7
0x11,I2cCtrl,
,,bgpCp,0
,,ts,1
,,boPga,2
,,si,3
,,wpd,4
,,spe,5
,,frd,6
,,crsd,7
0x12,AdcResult,
,,value,0
0x15,Adc,
,,regChp,0
,,adcVcm,2
,,regChpFreq,4
0x1B,Pga,
,,disableChopper,0
,,pgaInv,3
,,pgaBypass,4
,,ldoMode,5
,,rdOptSel,6
0x1C,PowerCtrl,
,,pgaCurr,0
,,adcCurr,2
,,masterBiasCurr,4
,,pgaCapEn,7
