"Address","Name","Fields","Bitmask"
0x00,GConf,
,,recalibrate,0
,,fastAndStill,1
,,enPwmMode,2
,,multiStepFilt,3
,,shaft,4
,,daig0Error,5
,,diag0Otpw,6
,,diag0Stall,7
,,diag1Stall,8
,,diag1Dir,9
,,diag1Index,10
,,diag1OnState,11
,,diag1StepsSkipped,12
,,diag0IntPushpull,13
,,diag1PoscompPushpull,14
,,smallHysteresis,15
,,stopEnable,16
,,directMode,17
,,testMode,18
0x01,Gstat,
,,reset,0
,,drvErr,1
,,uvCp,2
0x02,IfCnt,
,,count,0
0x03,NodeConf,
,,nodeAddr,0
,,sendDelay,8
0x04,IoIn,
,,reflStep,0
,,refrDir,1
,,encbDcenCfg4,2
,,drvEnn,3
,,encNDcoCfg6,4
,,sdMode,5
,,swCompIn,6
,,version,16
0x04,Output,
,,value,0
0x05,XCompare,
,,value,0
0x06,OtpProg,
,,otpbit,0
,,otpbyte,3
,,otpmagic,3
0x07,OtpRead,
,,otpbit,0
0x08,FactoryConf,
,,fclktrim,0
0x09,ShortConf,
,,s2vsLevel,0
,,s2gLevel,5
,,shortFilter,5
,,shortDelay,7
0x0a,DrvConf,
,,bbmTime,0
,,bbmClks,4
,,otSelect,8
,,drvStrength,2
,,filtISense,2
0x0b,GlobalScaler,
,,globalScaler,0
0x0c,OffsetRead,
,,offsetCalibrationResultPhaseB,0
,,offsetCalibrationResultPhaseA,0
0x10,IHoldIRun,
,,iHold,0
,,iRun,4
,,iHoldDelay,12
