"Address","Name","Fields","Bitmask"
0xA0,Enable,
,,powerOn,0
,,alsEnable,1
,,alsInterruptEnable,4
,,sleepAfterInterrupt,6
,,noPersistInterruptEnable,7
0xA1,Config,
,,alsTime,0
,,alsGain,3
,,systemReset,7
0xA4,InterruptLowThreshold,
,,value,0
0xA6,InterruptHighThreshold,
,,value,0
0xA8,NoPersistLowThreshold,
,,value,0
0xAa,NoPersistHighThreshold,
,,value,0
0xAc,Persist,
,,interruptPersistanceFilter,0
0xB1,PackageId,
,,value,0
0xB2,DeviceId,
,,value,0
0xB3,Status,
,,alsValud,0
,,alsInterrupt,4
,,noPersistInterrupt,5
0xB4,Ch0,
,,value,0
0xB6,Ch1,
,,value,0
