"Address","Name","Fields","Bitmask"
0x80,Command,
,,selfTimedEnable,0
,,proxPeriodicEnable,1
,,alsPeriodicEnable,2
,,proxOnDemandStart,3
,,alsOnDemandStart,4
,,proxDataReady,5
,,alsDataReady,6
,,configLock,7
0x82,ProductId,
,,revisionId,0
,,productId,4
0x82,ProximityRate,
,,rate,0
0x83,LedCurrent,
,,irLedCurrentValue,0
,,fuseProgId,6
0x84,AmbientLightParameters,
,,averagingSamples,0
,,autoOffsetCompensation,3
,,alsRate,4
,,continuousConversionMode,7
0x85,AmbientLightResult,
,,value,0
0x87,ProximityResult,
,,value,0
0x89,InterruptControl,
,,interruptThresholdSelect,0
,,interruptThresholdEnable,1
,,interruptAlsReadyEnable,2
,,intCountExceed,5
0x8A,LowThreshold,
,,value,0
0x8C,HighThreshold,
,,value,0
0x8E,InterruptStatus,
,,intThresholdHighExceeded,0
,,intThresholdLowExceeded,1
,,intAlsReady,2
,,intProxReady,3
0x8F,ProxModulatorTimingAdustment,
,,modulationDeadTime,0
,,proximityFrequency,3
,,modulationDelayTime,5
